iter	Passed	Remaining
0	460	1842329
1	793	1586778
2	1120	1493382
3	1445	1443700
4	1768	1413393
5	2091	1392043
6	2430	1386290
7	2757	1375903
8	3083	1367461
9	3484	1390186
10	3848	1395473
11	4194	1394042
12	4539	1392376
13	4850	1380926
14	5175	1375045
15	5496	1368588
16	5804	1360060
17	6110	1351880
18	6424	1346099
19	6726	1338628
20	7032	1332565
21	7324	1324487
22	7624	1318369
23	7912	1310910
24	8189	1302076
25	8460	1293179
26	8738	1285897
27	9005	1277438
28	9269	1269228
29	9560	1265117
30	9827	1258239
31	10100	1252456
32	10382	1248130
33	10659	1243373
34	10929	1238159
35	11218	1235227
36	11510	1232913
37	11786	1228934
38	12072	1226160
39	12362	1223885
40	12647	1221298
41	12909	1216573
42	13191	1213903
43	13480	1212039
44	13748	1208356
45	14017	1204912
46	14302	1202933
47	14583	1200727
48	14853	1197683
49	15124	1194842
50	15404	1192820
51	15695	1191623
52	15968	1189166
53	16241	1186808
54	16525	1185347
55	16803	1183462
56	17077	1181314
57	17352	1179361
58	17642	1178473
59	17919	1176736
60	18207	1175746
61	18532	1177082
62	18821	1176211
63	19103	1174862
64	19381	1173319
65	19682	1173199
66	19955	1171409
67	20233	1169978
68	20494	1167566
69	20796	1167550
70	21083	1166693
71	21363	1165480
72	21665	1165477
73	21956	1164874
74	22245	1164159
75	22540	1163824
76	22822	1162766
77	23098	1161460
78	23389	1160896
79	23683	1160479
80	23968	1159638
81	24248	1158589
82	24547	1158464
83	24808	1156533
84	25083	1155338
85	25367	1154511
86	25668	1154480
87	25945	1153380
88	26228	1152582
89	26515	1151936
90	26807	1151539
91	27085	1150557
92	27363	1149557
93	27668	1149725
94	27764	1141251
95	28059	1141069
96	28320	1139529
97	28613	1139276
98	28896	1138641
99	29192	1138489
100	29474	1137822
101	29771	1137719
102	30056	1137204
103	30338	1136529
104	30638	1136535
105	30921	1135925
106	31216	1135738
107	31512	1135600
108	31804	1135339
109	32094	1134993
110	32375	1134310
111	32666	1134006
112	32944	1133215
113	33239	1133056
114	33555	1133583
115	33652	1126785
116	33937	1126322
117	34227	1126030
118	34540	1126487
119	34797	1125121
120	35083	1124688
121	35360	1124004
122	35671	1124374
123	35954	1123874
124	36237	1123357
125	36532	1123222
126	36827	1123091
127	37109	1122577
128	37384	1121812
129	37666	1121306
130	37940	1120562
131	38207	1119590
132	38456	1118121
133	38741	1117711
134	39021	1117170
135	39325	1117315
136	39614	1117009
137	39919	1117170
138	40203	1116718
139	40485	1116233
140	40777	1116040
141	41041	1115065
142	41100	1108570
143	41402	1108654
144	41465	1102402
145	41768	1102577
146	42060	1102439
147	42354	1102370
148	42646	1102217
149	42948	1102338
150	43246	1102349
151	43550	1102510
152	43840	1102325
153	44135	1102246
154	44432	1102208
155	44721	1101993
156	45001	1101521
157	45286	1101199
158	45558	1100564
159	45651	1095626
160	45917	1094897
161	46179	1094052
162	46445	1093316
163	46721	1092816
164	46994	1092258
165	47261	1091566
166	47555	1091507
167	47822	1090816
168	48088	1090109
169	48363	1089594
170	48691	1090285
171	48951	1089451
172	49227	1088989
173	49509	1088629
174	49783	1088129
175	49933	1084914
176	50201	1084303
177	50464	1083576
178	50739	1083112
179	51018	1082731
180	51291	1082219
181	51583	1082122
182	51877	1082047
183	52180	1082169
184	52476	1082146
185	52762	1081916
186	53045	1081609
187	53321	1081176
188	53614	1081083
189	53661	1076055
190	53931	1075522
191	54201	1074990
192	54484	1074729
193	54751	1074138
194	55019	1073594
195	55293	1073154
196	55592	1073187
197	55850	1072441
198	56115	1071828
199	56389	1071404
200	56667	1071046
201	56926	1070331
202	57203	1069950
203	57475	1069502
204	57751	1069106
205	58030	1068776
206	58289	1068069
207	58574	1067859
208	58848	1067435
209	59129	1067152
210	59409	1066839
211	59504	1063226
212	59783	1062904
213	60063	1062625
214	60338	1062241
215	60622	1062010
216	60901	1061704
217	61186	1061493
218	61492	1061665
219	61794	1061740
220	62063	1061256
221	62346	1061009
222	62632	1060823
223	62910	1060484
224	63202	1060392
225	63524	1060800
226	63793	1060313
227	64075	1060059
228	64385	1060248
229	64668	1059996
230	64954	1059805
231	65239	1059576
232	65556	1059875
233	65857	1059915
234	66138	1059618
235	66433	1059551
236	66739	1059673
237	67031	1059548
238	67325	1059468
239	67642	1059736
240	67939	1059690
241	68228	1059513
242	68537	1059652
243	68839	1059683
244	69148	1059805
245	69453	1059872
246	69764	1060017
247	70068	1060072
248	70350	1059774
249	70648	1059721
250	71117	1062225
251	71425	1062318
252	71738	1062466
253	72033	1062349
254	72080	1058593
255	72386	1058654
256	72675	1058460
257	72975	1058427
258	73292	1058632
259	73605	1058786
260	73900	1058674
261	74211	1058787
262	74552	1059331
263	74835	1059034
264	75137	1059015
265	75441	1059010
266	75759	1059214
267	76048	1059006
268	76363	1059148
269	76670	1059193
270	76834	1057260
271	77120	1057004
272	77434	1057130
273	77743	1057194
274	78044	1057143
275	78379	1057560
276	78713	1057940
277	79004	1057745
